"title","genres","price","year"
"Dig Dug: Digging Strike","Action","16.95","2005"
"Frogger: Helmet Chaos","Action","17.95","2005"
"Mega Man Battle Network 5: Double Team DS","Action,Role-Playing (RPG)","17.95","2005"
"Nanostray","Action","17.95","2005"
"Sega Casino","Simulation","17.95","2005"
"Teenage Mutant Ninja Turtles 3: Mutant Nightmare","Action,Adventure","17.95","2005"
"Pac-Man World 3","Action","24.95","2005"
"Tokobot","Strategy","17.95","2005"
"Fullmetal Alchemist: Dual Sympathy","Action","14.95","2005"
"Exit","Action","9.95","2005"
"Bubble Bobble Revolution","Action","17.95","2005"
"The Rub Rabbits!","Action,Adventure","17.95","2005"
"Electroplankton","Simulation","29.95","2005"
"LifeSigns: Surgical Unit","Simulation,Strategy","22.95","2005"
"Space Invaders Revolution","Action","13.95","2005"
"Wii Play","Action,Sports","14.95","2006"
"New Super Mario Bros.","Action","27.95","2006"
"Pokmon Diamond","Role-Playing (RPG)","27.95","2006"
"Pokmon Pearl","Role-Playing (RPG)","26.95","2006"
"Gears of War","Action","19.95","2006"
"The Legend of Zelda: Twilight Princess","Action,Role-Playing (RPG)","39.95","2006"
"Cooking Mama","Simulation","17.95","2006"
"Marvel Ultimate Alliance","Action,Role-Playing (RPG)","14.95","2006"
"Daxter","Action","14.95","2006"
"The Elder Scrolls IV: Oblivion","Action,Role-Playing (RPG)","19.95","2006"
"Madden NFL 07","Sports","4.95","2006"
"Grand Theft Auto: Vice City Stories","Action,Racing / Driving","17.95","2006"
"Resistance: Fall of Man","Action","19.95","2006"
"MotorStorm","Action,Racing / Driving,Sports","16.95","2006"
"Call of Duty 3","Action","16.95","2006"
"Yoshi's Island DS","Action","27.95","2006"
"Tom Clancy's Ghost Recon: Advanced Warfighter","Action","14.95","2006"
"Fight Night Round 3","Action,Sports","14.95","2006"
"Pokmon Ranger","Role-Playing (RPG)","19.95","2006"
"Rayman Raving Rabbids","Action","17.95","2006"
"Saints Row","Action,Racing / Driving","14.95","2006"
"Tom Clancy's Rainbow Six: Vegas","Action","14.95","2006"
"Dead Rising","Action","16.95","2006"
"Call of Duty 3","Action","19.95","2006"
"Lost Planet: Extreme Condition","Action","12.95","2006"
"Mario Hoops 3 on 3","Sports","22.95","2006"
"LEGO Star Wars II: The Original Trilogy","Action","17.95","2006"
"Super Monkey Ball: Banana Blitz","Action","14.95","2006"
"The Sims 2: Pets","Simulation","14.95","2006"
"Need for Speed: Carbon - Own the City","Racing / Driving","16.95","2006"
"WarioWare: Smooth Moves","Action,Racing / Driving,Sports","39.95","2006"
"Fight Night Round 3","Action,Sports","13.95","2006"
"Final Fantasy III","Role-Playing (RPG)","17.95","2006"
"SOCOM: U.S. Navy SEALs - Fireteam Bravo 2","Action","16.95","2006"
"Madden NFL 07","Sports","9.95","2006"
"Monster 4x4: World Circuit","Racing / Driving","12.95","2006"
"Kirby: Squeak Squad","Action","27.95","2006"
"Pokmon Battle Revolution","Action,Strategy","39.95","2006"
"Medal of Honor: Heroes","Action","14.95","2006"
"Tekken: Dark Resurrection","Action","17.95","2006"
"Need for Speed: Carbon","Racing / Driving","16.95","2006"
"Mario vs. Donkey Kong 2: March of the Minis","Action","27.95","2006"
"Sonic Rivals","Action,Racing / Driving","17.95","2006"
"NCAA Football 07","Sports","4.95","2006"
"Mortal Kombat: Unchained","Action","17.95","2006"
"Tom Clancy's Splinter Cell: Double Agent","Action","17.95","2006"
"Tetris DS","Strategy","17.95","2006"
"LEGO Star Wars II: The Original Trilogy","Action","17.95","2006"
"Red Steel","Action","14.95","2006"
"Metroid Prime: Hunters","Action","27.95","2006"
"LEGO Star Wars II: The Original Trilogy","Action","14.95","2006"
"NBA 2K7 ","Sports","4.95","2006"
"SEGA Genesis Collection","Action,Racing / Driving,Role-Playing (RPG),Strategy","17.95","2006"
"Call of Duty 3","Action","19.95","2006"
"NBA Live 07","Sports","7.95","2006"
"Madden NFL 07","Sports","6.95","2006"
"SpongeBob SquarePants: The Yellow Avenger","Action","12.95","2006"
"Madden NFL 07","Sports","9.95","2006"
"Fight Night Round 3","Action,Simulation,Sports","16.95","2006"
"Need for Speed: Carbon","Racing / Driving","17.95","2006"
"Need for Speed: Carbon","Racing / Driving","17.95","2006"
"WWE SmackDown vs. Raw 2007","Sports","12.95","2006"
"Tiger Woods PGA Tour 07","Sports","9.95","2006"
"Viva Pi$?ata","Simulation,Strategy","16.95","2006"
"SpongeBob Squarepants: Creature from the Krusty Krab","Action,Adventure","14.95","2006"
"Tony Hawk's Project 8","Sports","17.95","2006"
"Tony Hawk's Project 8","Sports","16.95","2006"
"NBA LIVE 07 ","Sports","4.95","2006"
"Excite Truck","Racing / Driving","19.95","2006"
"Harvest Moon DS","Role-Playing (RPG),Simulation","17.95","2006"
"Star Fox Command","Action","14.95","2006"
"Metal Gear Solid: Portable Ops","Action,Strategy","17.95","2006"
"Marvel Ultimate Alliance","Action,Role-Playing (RPG)","17.95","2006"
"Blazing Angels: Squadrons of WWII","Action","16.95","2006"
"Major League Baseball 2K6","Sports","4.95","2006"
"NCAA Football 07","Sports","9.95","2006"
"MLB 06: The Show","Sports","9.95","2006"
"Blazing Angels: Squadrons of WWII","Action","16.95","2006"
"WWE SmackDown vs. Raw 2007","Sports","14.95","2006"
"Rune Factory: A Fantasy Harvest Moon","Role-Playing (RPG),Simulation","24.95","2006"
"Marvel Ultimate Alliance","Action,Role-Playing (RPG)","22.95","2006"
"Marvel Ultimate Alliance","Action,Role-Playing (RPG)","24.95","2006"
"Tiger Woods PGA Tour 07","Sports","14.95","2006"
"Ace Combat X: Skies of Deception","Action,Simulation","22.95","2006"
"Killzone: Liberation","Action,Strategy","16.95","2006"
"F.E.A.R.: First Encounter Assault Recon","Action","17.95","2006"
"NBA 2K7","Sports","7.95","2006"
"Tony Hawk's Project 8","Sports","14.95","2006"
"Avatar: The Last Airbender","Action","17.95","2006"
"Castlevania: Portrait of Ruin","Action","17.95","2006"
"Hitman: Blood Money","Action","22.95","2006"
"Rockstar Games presents Table Tennis","Sports","9.95","2006"
"Trauma Center: Second Opinion","Action,Simulation","17.95","2006"
"Tenchu Z","Action","14.95","2006"
"Elite Beat Agents","Action","9.95","2006"
"Street Fighter Alpha 3 MAX","Action","14.95","2006"
"Blue Dragon","Role-Playing (RPG)","14.95","2006"
"The Lord of the Rings: The Battle for Middle Ea...","Strategy","19.95","2006"
"Prey","Action","14.95","2006"
"Over the Hedge","Adventure","16.95","2006"
"Capcom Classics Collection Reloaded","Action","17.95","2006"
"Pirates of the Caribbean: Dead Man's Chest","Action","14.95","2006"
"NHL 07 ","Sports","5.95","2006"
"Monster Hunter Freedom","Action,Strategy","12.95","2006"
"Chromehounds","Action,Simulation,Strategy","14.95","2006"
"Test Drive Unlimited","Racing / Driving","17.95","2006"
"Dragon Ball Z: Budokai Tenkaichi 2","Action","14.95","2006"
"Dragon Quest Monsters: Joker","Role-Playing (RPG)","14.95","2006"
"Pirates of the Caribbean: Dead Man's Chest","Action","11.95","2006"
"NFL Street 3","Action,Sports","14.95","2006"
"Syphon Filter: Dark Mirror","Action","12.95","2006"
"NBA 07","Sports","6.95","2006"
"Ridge Racer 7","Racing / Driving","19.95","2006"
"The Outfit","Action","14.95","2006"
"Elebits","Action","14.95","2006"
"Tony Hawk's Downhill Jam","Racing / Driving,Sports","14.95","2006"
"The Sims 2: Pets","Simulation","17.95","2006"
"Tiger Woods PGA Tour 07","Sports","12.95","2006"
"Thrillville","Simulation,Strategy","14.95","2006"
"The Godfather: The Game","Action","17.95","2006"
"Rampage: Total Destruction","Action","16.95","2006"
"College Hoops 2K7","Sports","6.95","2006"
"Far Cry: Instincts - Predator","Action","17.95","2006"
"Full Auto","Action,Racing / Driving","16.95","2006"
"Age of Empires: The Age of Kings","Strategy","17.95","2006"
"Need for Speed: Carbon - Own the City","Action,Racing / Driving","14.95","2006"
"Brothers in Arms: D-Day","Action","6.95","2006"
"Family Guy Video Game!","Action","19.95","2006"
"Superman Returns","Action","7.95","2006"
"Over G Fighters","Simulation","17.95","2006"
"Final Fantasy XI Online","Action,Role-Playing (RPG)","4.95","2006"
"Mystery Dungeon: Shiren the Wanderer","Action,Role-Playing (RPG)","17.95","2006"
"Phoenix Wright: Ace Attorney - Justice for All","Adventure,Simulation","13.95","2006"
"Justice League Heroes","Action","17.95","2006"
"Valhalla Knights","Action,Role-Playing (RPG)","16.95","2006"
"Genji: Days of the Blade","Action,Role-Playing (RPG)","14.95","2006"
"Top Spin 2","Sports","12.95","2006"
"Field Commander","Strategy","14.95","2006"
"Children of Mana","Action,Role-Playing (RPG)","16.95","2006"
"Valkyrie Profile: Lenneth","Role-Playing (RPG)","22.95","2006"
"Monster House","Action","14.95","2006"
"Enchanted Arms","Role-Playing (RPG)","17.95","2006"
"NHL 07","Sports","12.95","2006"
"Bust-a-Move Deluxe","Strategy","14.95","2006"
"Full Auto 2: Battlelines","Action,Racing / Driving","14.95","2006"
"Blitz: The League","Sports","14.95","2006"
"Star Trek Legacy","Action,Strategy","24.95","2006"
"Eragon","Action,Role-Playing (RPG)","16.95","2006"
"Master of Illusion","Strategy","14.95","2006"
"Mega Man ZX","Action","19.95","2006"
"Untold Legends: The Warrior's Code","Action,Role-Playing (RPG)","14.95","2006"
"Super Swing Golf","Sports","16.95","2006"
"X-Men: The Official Game","Action","14.95","2006"
"Untold Legends: Dark Kingdom","Action,Role-Playing (RPG)","16.95","2006"
"Happy Feet","Action","14.95","2006"
"Open Season","Action","17.95","2006"
"Dungeon Siege: Throne of Agony","Role-Playing (RPG)","24.95","2006"
"LocoRoco","Action,Strategy","17.95","2006"
"Dead or Alive: Xtreme 2","Racing / Driving,Sports","14.95","2006"
"Fuzion Frenzy 2","Action,Sports","14.95","2006"
"MotoGP '06","Racing / Driving,Simulation,Sports","14.95","2006"
"Lumines II","Strategy","14.95","2006"
"Major League Baseball 2K6","Sports","4.95","2006"
"Star Wars: Lethal Alliance","Action","17.95","2006"
"Worms: Open Warfare","Action,Strategy","17.95","2006"
"Eragon","Action","14.95","2006"
"Metal Slug Anthology","Action","16.95","2006"
"Open Season","Action","14.95","2006"
"Tom Clancy's Splinter Cell: Double Agent","Action","17.95","2006"
"Avatar: The Last Airbender","Action","17.95","2006"
"Lemmings","Strategy","17.95","2006"
"Mega Man Powered Up","Action","16.95","2006"
"College Hoops 2K6","Sports","6.95","2006"
"Dynasty Warriors 5: Empires","Action,Role-Playing (RPG),Strategy","14.95","2006"
"Magical Starsign","Role-Playing (RPG)","9.95","2006"
"Resident Evil: Deadly Silence","Action","17.95","2006"
"X-Men: The Official Game","Action","14.95","2006"
"Cabela's African Safari","Sports","17.95","2006"
"Cabela's Alaskan Adventures","Sports","17.95","2006"
"Armored Core 4","Action","19.95","2006"
"Eragon","Action","12.95","2006"
"LostMagic","Action,Role-Playing (RPG)","14.95","2006"
"Magnetica","Action,Strategy","17.95","2006"
"Def Jam Fight for NY: The Takeover","Action","17.95","2006"
"NASCAR 07","Racing / Driving,Simulation","24.95","2006"
"The Ant Bully","Action","16.95","2006"
"Just Cause","Action,Racing / Driving","16.95","2006"
"Onechanbara: Bikini Samurai Squad","Action","19.95","2006"
"Phantasy Star Universe","Role-Playing (RPG)","24.95","2006"
"Project Sylpheed: Arc of Deception","Action","14.95","2006"
"Winning Eleven: Pro Evolution Soccer 2007","Sports","11.95","2006"
"Kororinpa: Marble Mania","Action,Strategy","17.95","2006"
"Digimon World DS","Role-Playing (RPG)","27.95","2006"
"Justice League Heroes","Action","17.95","2006"
"Innocent Life: A Futuristic Harvest Moon","Role-Playing (RPG),Simulation,Strategy","17.95","2006"
"Power Stone Collection","Action","14.95","2006"
"EA Replay","Action,Role-Playing (RPG),Simulation,Sports,Strategy","14.95","2006"
"Open Season","Action","17.95","2006"
"Samurai Warriors 2","Action","14.95","2006"
"Far Cry: Vengeance","Action","16.95","2006"
"Import Tuner Challenge","Racing / Driving","17.95","2006"
"Contact","Adventure,Role-Playing (RPG)","14.95","2006"
"Touch Detective","Adventure","14.95","2006"
"FIFA Street 2","Sports","17.95","2006"
"007: From Russia with Love","Action,Racing / Driving","17.95","2006"
"PaRappa the Rapper","Action","12.95","2006"
"Riviera: The Promised Land","Role-Playing (RPG)","17.95","2006"
"Samurai Warriors: State of War","Action","17.95","2006"
"Viewtiful Joe: Red Hot Rumble","Action","14.95","2006"
"Ice Age 2: The Meltdown","Action","17.95","2006"
"Rumble Roses XX","Action,Sports","17.95","2006"
"Bionicle Heroes","Action","16.95","2006"
"Deep Labyrinth","Role-Playing (RPG)","10.95","2006"
"Blade Dancer: Lineage of Light","Role-Playing (RPG)","16.95","2006"
"Every Extend Extra","Action","11.95","2006"
"Ultimate Ghosts 'N' Goblins","Action","17.95","2006"
"Xiaolin Showdown","Action","14.95","2006"
"Bionicle Heroes","Action","14.95","2006"
"Bullet Witch","Action","16.95","2006"
"Death Jr. II: Root of Evil","Action","14.95","2006"
"Alex Rider: Stormbreaker","Action,Adventure","12.95","2006"
"Cartoon Network Racing","Racing / Driving","14.95","2006"
"Guilty Gear: Dust Strikers","Action","14.95","2006"
"Gunpey DS","Strategy","12.95","2006"
"Lara Croft Tomb Raider: Legend","Action,Racing / Driving","17.95","2006"
"Worms: Open Warfare","Action,Strategy","17.95","2006"
"Mercury Meltdown","Strategy","12.95","2006"
"MTX Mototrax","Racing / Driving,Sports","19.95","2006"
"Snoopy vs. the Red Baron","Action","17.95","2006"
"Super Monkey Ball Adventure","Action,Racing / Driving","24.95","2006"
"Ys VI: The Ark of Napishtim","Action,Role-Playing (RPG)","16.95","2006"
"Bomberman Land Touch!","Action","24.95","2006"
"Point Blank DS","Action","17.95","2006"
"Scurge: Hive","Action","8.95","2006"
"Star Trek: Tactical Assault","Action,Strategy","17.95","2006"
"Tao's Adventure: Curse of the Demon Seal","Role-Playing (RPG)","14.95","2006"
"Ford Bold Moves Street Racing","Racing / Driving","17.95","2006"
"Gitaroo Man Lives!","Simulation","22.95","2006"
"Gradius Collection","Action","17.95","2006"
"The Legend of Heroes II: Prophecy of the Moonli...","Role-Playing (RPG)","17.95","2006"
"Pac-Man World Rally","Action,Racing / Driving","17.95","2006"
"Bomberman: Act Zero","Action","12.95","2006"
"Earth Defense Force 2017","Action","17.95","2006"
"WarTech: Senko no Ronde","Action","12.95","2006"
"MechAssault: Phantom War","Action","12.95","2006"
"Astonishia Story","Role-Playing (RPG),Strategy","16.95","2006"
"B-Boy","Action","17.95","2006"
"BattleZone","Action","14.95","2006"
"Bounty Hounds","Action,Strategy","17.95","2006"
"Bubble Bobble Evolution","Action","12.95","2006"
"MotoGP","Racing / Driving,Sports","32.95","2006"
"OutRun 2006: Coast 2 Coast","Racing / Driving","17.95","2006"
"Warhammer: Battle for Atluma","Strategy","17.95","2006"
"SBK: Snowboard Kids","Action,Sports","19.95","2006"
"Tenchu: Dark Secret","Action","14.95","2006"
"Dungeon Maker: Hunting Ground","Action,Role-Playing (RPG)","14.95","2006"
"Metal Gear Solid: Digital Graphic Novel","Adventure","17.95","2006"
"Star Trek: Tactical Assault","Action,Strategy","17.95","2006"
"Micro Machines V4","Action,Racing / Driving","17.95","2006"
"Platypus","Action","14.95","2006"
"Custom Robo Arena","Action,Role-Playing (RPG)","17.95","2006"
"Gurumin: A Monstrous Adventure","Action","13.95","2006"
"Spider-Man 3","Action","6.95","2006"
"Wii Fit","Educational,Sports","24.95","2007"
"Halo 3","Action","24.95","2007"
"Call of Duty 4: Modern Warfare","Action","29.95","2007"
"Super Mario Galaxy","Action","39.95","2007"
"Mario Party DS","Action,Strategy","27.95","2007"
"Mario Party 8","Action,Strategy","39.95","2007"
"Guitar Hero III: Legends of Rock","Action,Simulation","12.95","2007"
"Link's Crossbow Training","Action","14.95","2007"
"Guitar Hero III: Legends of Rock","Action,Simulation","49.95","2007"
"Assassin's Creed","Action","16.95","2007"
"LEGO Star Wars: The Complete Saga","Action","17.95","2007"
"Call of Duty 4: Modern Warfare","Action","24.95","2007"
"Mario & Sonic at the Olympic Games","Action,Sports","29.95","2007"
"LEGO Star Wars: The Complete Saga","Action,Racing / Driving","17.95","2007"
"Forza Motorsport 2","Racing / Driving","12.95","2007"
"Madden NFL 08","Sports","9.95","2007"
"Guitar Hero II","Action,Simulation","17.95","2007"
"Rock Band","Action,Simulation","14.95","2007"
"The Legend of Zelda: Phantom Hourglass","Action","24.95","2007"
"Pokmon Mystery Dungeon: Explorers of Darkness","Role-Playing (RPG)","15.95","2007"
"Pokmon Mystery Dungeon: Explorers of Time","Role-Playing (RPG)","24.95","2007"
"Assassin's Creed","Action","17.95","2007"
"Uncharted: Drake's Fortune","Action","24.95","2007"
"Mass Effect","Action,Role-Playing (RPG)","17.95","2007"
"Cooking Mama 2: Dinner with Friends","Simulation","17.95","2007"
"BioShock","Action","16.95","2007"
"Super Paper Mario","Action,Role-Playing (RPG)","29.95","2007"
"Game Party","Action","14.95","2007"
"Ratchet & Clank: Size Matters","Action","14.95","2007"
"Dance Dance Revolution Hottest Party","Action","17.95","2007"
"Cooking Mama: Cook Off","Simulation","14.95","2007"
"Gran Turismo 5: Prologue","Racing / Driving,Simulation","24.95","2007"
"Professor Layton and the Curious Village","Adventure,Educational,Strategy","23.95","2007"
"Resident Evil 4","Action","16.95","2007"
"The Elder Scrolls IV: Oblivion","Action,Role-Playing (RPG)","17.95","2007"
"Transformers: Autobots","Action,Racing / Driving","17.95","2007"
"Transformers: Decepticons","Action,Racing / Driving","17.95","2007"
"Diddy Kong Racing DS","Racing / Driving,Sports","24.95","2007"
"Big Brain Academy: Wii Degree","Action","19.95","2007"
"Need for Speed: ProStreet","Racing / Driving","16.95","2007"
"Deal or No Deal","Strategy","11.95","2007"
"LEGO Star Wars: The Complete Saga","Action","17.95","2007"
"Sonic and the Secret Rings","Action","16.95","2007"
"The Orange Box","Action","17.95","2007"
"Crackdown","Action,Racing / Driving,Role-Playing (RPG)","14.95","2007"
"Rock Band","Action,Simulation","14.95","2007"
"Tiger Woods PGA Tour 08","Sports","17.95","2007"
"WWE Smackdown vs. Raw 2008","Sports","12.95","2007"
"Madden NFL 08","Sports","9.95","2007"
"Call of Duty 4: Modern Warfare","Action","19.95","2007"
"MySims","Simulation,Strategy","17.95","2007"
"Mario Strikers Charged","Action,Sports","29.95","2007"
"Star Wars Battlefront: Renegade Squadron","Action","16.95","2007"
"Flash Focus: Vision Training in Minutes a Day","Action","17.95","2007"
"Metroid Prime 3: Corruption","Action","19.95","2007"
"Tom Clancy's Ghost Recon: Advanced Warfighter 2...","Action","14.95","2007"
"Madden NFL 08","Sports","12.95","2007"
"Ratchet & Clank Future: Tools of Destruction","Action","22.95","2007"
"LEGO Star Wars: The Complete Saga","Action","17.95","2007"
"Rayman Raving Rabbids 2","Action","17.95","2007"
"NBA 2K8 ","Sports","9.95","2007"
"Namco Museum DS","Action","17.95","2007"
"Need for Speed: ProStreet","Racing / Driving","16.95","2007"
"Blazing Angels: Squadrons of WWII","Action","16.95","2007"
"Drawn to Life","Action","17.95","2007"
"EA Playground","Action,Racing / Driving,Sports","17.95","2007"
"Major League Baseball 2K7","Sports","9.95","2007"
"Resident Evil: The Umbrella Chronicles","Action","19.95","2007"
"NCAA Football 08","Sports","9.95","2007"
"Spectrobes","Action,Strategy","14.95","2007"
"The Sims 2: Castaway","Simulation","16.95","2007"
"WWE Smackdown vs. Raw 2008","Sports","14.95","2007"
"Madden NFL 08","Sports","9.95","2007"
"NBA Live 08","Sports","9.95","2007"
"The Simpsons Game","Action","17.95","2007"
"Ace Combat 6: Fires of Liberation","Action,Simulation","19.95","2007"
"Heavenly Sword","Action","24.95","2007"
"Ninja Gaiden Sigma","Action","19.95","2007"
"Ben 10: Protector of the Earth","Action","16.95","2007"
"The Simpsons Game","Action","17.95","2007"
